Transactions,Clients,timeoutTime,sumTimeBeforeInfo,sumTimeAfterInfo,transactionTimeouts,connectionTimeouts,correctConnections,MeanTimeBeforeInfoGET,MeanTimeAfterInfoGET,StandardDeviationBeforeInfo,StandardDeviationAfterInfo
100,1000,120,54617,533,3921,15843,2,27308,266,6187.891482564962,118.0889495253472
10,1000,120,92769958,68629125,55,0,1000,92769,68629,24673.55748569711,12362.714669521416
1,1000,120,2357677,614505,0,2,819,2878,750,1171.1387620602436,1126.741762783292
10,750,120,36945110,26460301,0,0,750,49260,35280,10474.224362691493,4798.492784197972
1,750,120,1673383,162842,0,0,670,2497,243,583.271806279028,437.50771421770384
100,500,120,66944,34069,0,2,3,22314,11356,20935.250249280518,19426.39786476124
10,500,120,12133346,6928758,0,0,500,24266,13857,5317.41958096218,3710.1136101203156
1,500,120,1110692,13064,0,0,497,2234,26,201.6482085216727,33.075670817082454
1000,250,120,0,0,0,0,0,-1,-1,0.0,0.0
100,250,120,691843,672616,7193,0,3,230614,224205,328709.3019690803,328340.84044175805
10,250,120,2051931,694956,0,0,250,8207,2779,1418.411435374095,756.0178569319643
1,250,120,539953,10334,0,0,249,2168,41,90.75241043630741,42.320207938997655
1000,100,120,0,0,0,90580,0,-1,-1,0.0,0.0
100,100,120,11974577,7339690,3262,0,100,119745,73396,40877.583906096996,34656.571296076014
10,100,120,450264,57489,0,0,100,4502,574,867.0645881363164,457.1433035712106
1,100,120,210461,5162,0,0,100,2104,51,124.78381305281547,125.3913872640382
1000,10,120,1467219,922752,2004,0,10,146721,92275,39816.177767334724,38879.453905629896
100,10,120,57527,8870,0,0,10,5752,887,365.3696758079411,345.0028985385485
10,10,120,23061,417,0,0,10,2306,41,60.802960454241045,21.02379604162864
1,10,120,20239,98,0,0,10,2023,9,6.557438524302,3.0
1000,1,120,5919,1275,0,0,1,5919,1275,0.0,0.0
100,1,120,2561,172,0,0,1,2561,172,0.0,0.0
10,1,120,2095,32,0,0,1,2095,32,0.0,0.0
1,1,120,2048,14,0,0,1,2048,14,0.0,0.0
