Transactions,Clients,timeoutTime,sumTimeBeforeInfo,sumTimeAfterInfo,transactionTimeouts,connectionTimeouts,correctConnections,MeanTimeBeforeInfoGET,MeanTimeAfterInfoGET,StandardDeviationBeforeInfo,StandardDeviationAfterInfo
10,1000,1200000,93091702,66873945,0,0,998,93278,67007,21650.91388371401,9514.483748475268
1,1000,1200000,2640004,514279,0,0,837,3154,614,951.9180637008628,559.3201230064943
100,100,1200000,11186831,6466006,0,0,100,111868,64660,32014.94327653885,25899.115409604245
10,100,1200000,341638,23048,0,0,100,3416,230,595.8926077742532,313.61281861556614
1,100,1200000,204178,3557,0,0,98,2083,36,46.216880033165374,49.4064773081425
100,10,1200000,48975,9833,0,0,10,4897,983,316.3083938184379,317.1135443338868
10,10,1200000,21859,289,0,0,10,2185,28,22.38302928559939,10.344080432788601
1,10,1200000,20276,102,0,0,10,2027,10,9.486832980505138,4.123105625617661
100,1,1200000,2426,121,0,0,1,2426,121,0.0,0.0
10,1,1200000,2070,22,0,0,1,2070,22,0.0,0.0
1,1,1200000,2036,14,0,0,1,2036,14,0.0,0.0
100,250,1200000,192132812,137808329,0,0,250,768531,551233,235877.3004826874,197988.4938146659
10,250,1200000,2001406,692863,0,0,250,8005,2771,1667.0986773433658,903.5889552224506
1,250,1200000,530288,7704,0,0,247,2146,31,88.85381252371785,49.47726750741192
100,500,1200000,17491395,8659772,0,444,21,832923,412370,422669.58531813003,245394.39209566303
10,500,1200000,12483412,7711947,0,0,500,24966,15423,4940.464755465826,2937.7157793088154
1,500,1200000,1088644,52494,0,0,480,2268,109,220.63317973505255,178.4992997185143
100,750,1200000,998296,907873,0,2802,3,332765,302624,507481.6247727596,490944.19164300134
10,750,1200000,37307216,26674648,0,0,750,49742,35566,10017.296341827969,5480.102280067407
1,750,1200000,1971807,303817,0,0,704,2800,431,792.7811804022596,484.9515439711477
100,1000,1200,34461,4710,0,16,1,34461,4710,0.0,0.0
10,1000,1200,76223493,52590840,0,0,1000,76223,52590,19240.241890371337,10420.397209319806
1,1000,1200,3619049,1374649,0,60,922,3925,1490,1762.2823269839598,1489.0533905807408
100,100,1200,11510901,7123026,0,0,100,115109,71230,32673.836306745492,25239.04732750426
10,100,1200,668042,38543,0,0,100,6680,385,3767.3348669848824,541.4000369412621
1,100,1200,216205,6307,0,0,100,2162,63,105.29482418428742,105.52724766618336
100,10,1200,72945,25796,0,0,10,7294,2579,911.4971201271017,856.7695139300885
10,10,1200,23296,530,0,0,10,2329,53,60.473134530963414,25.553864678361276
1,10,1200,20212,81,0,0,10,2021,8,3.7416573867739413,1.4142135623730951
100,1,1200,2599,182,0,0,1,2599,182,0.0,0.0
10,1,1200,2083,27,0,0,1,2083,27,0.0,0.0
1,1,1200,2032,13,0,0,1,2032,13,0.0,0.0
100,1000,120,54617,533,3921,15843,2,27308,266,6187.891482564962,118.0889495253472
10,1000,120,92769958,68629125,55,0,1000,92769,68629,24673.55748569711,12362.714669521416
1,1000,120,2357677,614505,0,2,819,2878,750,1171.1387620602436,1126.741762783292
1000,100,120,0,0,0,90580,0,-1,-1,0.0,0.0
100,100,120,11974577,7339690,3262,0,100,119745,73396,40877.583906096996,34656.571296076014
10,100,120,450264,57489,0,0,100,4502,574,867.0645881363164,457.1433035712106
1,100,120,210461,5162,0,0,100,2104,51,124.78381305281547,125.3913872640382
1000,10,120,1467219,922752,2004,0,10,146721,92275,39816.177767334724,38879.453905629896
100,10,120,57527,8870,0,0,10,5752,887,365.3696758079411,345.0028985385485
10,10,120,23061,417,0,0,10,2306,41,60.802960454241045,21.02379604162864
1,10,120,20239,98,0,0,10,2023,9,6.557438524302,3.0
1000,1,120,5919,1275,0,0,1,5919,1275,0.0,0.0
100,1,120,2561,172,0,0,1,2561,172,0.0,0.0
10,1,120,2095,32,0,0,1,2095,32,0.0,0.0
1,1,120,2048,14,0,0,1,2048,14,0.0,0.0
1000,250,120,0,0,0,0,0,-1,-1,0.0,0.0
100,250,120,691843,672616,7193,0,3,230614,224205,328709.3019690803,328340.84044175805
10,250,120,2051931,694956,0,0,250,8207,2779,1418.411435374095,756.0178569319643
1,250,120,539953,10334,0,0,249,2168,41,90.75241043630741,42.320207938997655
100,500,120,66944,34069,0,2,3,22314,11356,20935.250249280518,19426.39786476124
10,500,120,12133346,6928758,0,0,500,24266,13857,5317.41958096218,3710.1136101203156
1,500,120,1110692,13064,0,0,497,2234,26,201.6482085216727,33.075670817082454
10,750,120,36945110,26460301,0,0,750,49260,35280,10474.224362691493,4798.492784197972
1,750,120,1673383,162842,0,0,670,2497,243,583.271806279028,437.50771421770384
10,1000,300,137801184,98772315,0,0,1000,137801,98772,41615.03386998502,22038.76913532151
1,1000,300,2789316,563863,0,0,910,3065,619,1125.402150344489,755.0039734994776
1000,100,300,0,0,0,0,0,-1,-1,0.0,0.0
100,100,300,18280644,7179300,0,0,100,182806,71793,34816.09426687606,25157.623695412887
10,100,300,389384,31391,0,0,100,3893,313,651.9869630598453,469.65732188479717
1,100,300,206236,3224,0,0,99,2083,32,67.17886572427373,60.56401571890688
1000,10,300,168398,60384,0,6,2,84199,30192,12450.736203132728,12457.807270944595
100,10,300,52370,13258,0,0,10,5237,1325,614.810539922666,618.6396366221614
10,10,300,21589,222,0,0,10,2158,22,20.445048300260872,4.0
1,10,300,20331,89,0,0,10,2033,8,12.36931687685298,2.0
1000,1,300,6120,1266,0,0,1,6120,1266,0.0,0.0
100,1,300,2408,111,0,0,1,2408,111,0.0,0.0
10,1,300,2064,19,0,0,1,2064,19,0.0,0.0
1,1,300,2054,13,0,0,1,2054,13,0.0,0.0
100,250,300,197423734,142662511,12533,18,229,862112,622980,82969.0800599838,70022.92293956316
10,250,300,2055685,788355,0,0,250,8222,3153,1529.5218207008359,681.8203575722861
1,250,300,529141,11015,0,0,247,2142,44,75.49172140042907,43.474130238568314
100,500,300,62306,29202,0,577,3,20768,9734,17648.573115127467,16543.757342272642
